"id","language","text"
76,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
77,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
78,"es","?RT @PontGasso: Fem Consell Agrupació @Pdemocratacat #Anoia amb el president Federació @jaumecasanas @marccastells @santibroch https://t.co/…"
79,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
80,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
81,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
82,"es","?@jgarganteclosa @CGTDiba Ostres, ho té tot, amalgama perfecta i necessària x ser sindicalista groc i per rematar-ho: declaradament masclista"
83,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
84,"es","?@8aldia Buena suerte...y muchas noches..."
85,"es","?Em pregunto què diria @Endavant_Bcn si algun grup polític hagués fet un cartell bufetejant una companya quan no es van signar pressupostos16"
86,"es","?RT @llunadejuny: Em pregunto què diria @Endavant_Bcn si algun grup polític hagués fet un cartell bufetejant una companya quan no es van sig…"
87,"es","?Cuñados discutiendo de gustos..."
88,"es","?@llunadejuny @Endavant_Bcn molt bona"
89,"es","?RT @nuriaparlon: .@Joan_Mercader fins avui alcalde de Malgrat acompanyat pels malgratencs i malgratenques! Endavant Joan i a guanyar per ma…"
90,"es","?RT @Arran_jovent: Clarament, això és violència!Acció directa contra les retallades i la privatització dels serveis públics. Plantem-… "
91,"es","?RT @llunadejuny: Em pregunto què diria @Endavant_Bcn si algun grup polític hagués fet un cartell bufetejant una companya quan no es van sig…"
92,"es","?RT @mconesapages: S'aprova manifest per Referèndum. Demòcràcia i futur! #pactenacionalreferèndum https://t.co/npZbv68oZy"
93,"es","?RT @llunadejuny: Em pregunto què diria @Endavant_Bcn si algun grup polític hagués fet un cartell bufetejant una companya quan no es van sig…"
94,"es","?RT @llunadejuny: Em pregunto què diria @Endavant_Bcn si algun grup polític hagués fet un cartell bufetejant una companya quan no es van sig…"
95,"es","?@Arran_jovent @Endavant_OSAN violència per violència? No gràcies"
96,"es","?RT @BrunaHusky: Hoy es el día internacional del  Galgo. Hazte una foto con tu peludo o solo con el cartel y participa en campaña de… "
97,"es","?RT @PZonaFranca: @t_capdevila @jpuigcorbe @AlfredBosch @montsebenedi @miquelpuigrapos @LaVanguardia #NoSenseZonaFranca #PZF https://t.co/y0…"
98,"es","?RT @Bullcooper: @Arran_jovent @soler_toni @Endavant_OSAN Els extrems es toquen. Aneu amb compte quitxalla. https://t.co/k4nbGFSQYI"
99,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
100,"es","?@Arran_jovent @Endavant_OSAN Si us heu equivocat o heu ficat la pota no passa res. Però no ho intenteu justificar."
101,"es","?RT @pacoataco: Te concedo el maleficio de la duda."
102,"es","?RT @arran_sarria: Tic-Tac,Tic-Tac...Estigueu atentes que en menys de 24 hores us anunciarem que està passant al barri! A Sarrià quelc… "
103,"es","?RT @adestemps: #VermutRebel ;) https://t.co/tInJCeNizo"
104,"es","?RT @ArranLaRibera: 1 ANY SEGANT ARRAN! ?

La lluita del jovent, el futur del nostre poble! https://t.co/67VVWfjemb"
105,"es","?RT @ArranSantAndreu: Dos dies i ho tenim!!!
#dospoblesuna lluita https://t.co/9o83jRjRyc"
106,"es","?RT @Arran_jovent: Clarament, això és violència!Acció directa contra les retallades i la privatització dels serveis públics. Plantem-… "
107,"es","?RT @Arran_jovent: Clarament, això és violència!Acció directa contra les retallades i la privatització dels serveis públics. Plantem-… "
108,"es","?RT @Arran_Valls: ALERTA! 
@Esquerra_Valls i @PDECATValls a favor de la presència de l'exèrcit espanyol a l'Espai de l'Estudiant! … "
109,"es","?RT @GafasLilas: .@Ines_herreros Esta empresa también cree que los bocadillos solo los preparan las mamás. @sarasolomando… "
110,"es","?RT @mariallauradof: S'ha inaugura't  al centre cívic de #Begues l'exposició ""Controles?"" dedicada a prevenir el consum de drogues @diba htt…"
111,"es","?RT @mariallauradof: S'ha inaugura't  al centre cívic de #Begues l'exposició ""Controles?"" dedicada a prevenir el consum de drogues @diba htt…"
112,"es","?RT @patolucas48: @Arran_jovent Ara resulta que @toni_comin es culpable de les retallades des de 2010 ? Qui us passa la informació, el Fachi…"
